"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165","Принять заказ без id заказа — возвращается ошибка","tests","2026-07-25","passed","2026-07-25","TestAcceptOrder","test_accept_order","",""
"","15190","Тело ответа содержит список заказов orders","tests","2026-07-25","passed","2026-07-25","TestGetOrdersList","test_list_orders","",""
"","172","Запрос с существующим треком возвращает код 200","tests","2026-07-25","passed","2026-07-25","TestGetOrderByTrack","test_get_order_by_track","",""
"","325","Заказ создаётся с любым набором цветов и код ответа 201","tests","2026-07-25","passed","2026-07-25","TestCreateOrder","test_create_order","",""
"","487","Заказ создаётся с любым набором цветов и код ответа 201","tests","2026-07-25","passed","2026-07-25","TestCreateOrder","test_create_order","",""
"","396","Принять заказ без id курьера — возвращается ошибка","tests","2026-07-25","passed","2026-07-25","TestAcceptOrder","test_accept_order","",""
"","367","Тело ответа при создании заказа содержит track","tests","2026-07-25","passed","2026-07-25","TestCreateOrder","test_create_order","",""
"","546","Успешное удаление курьера возвращает код 200","tests","2026-07-25","passed","2026-07-25","TestDeleteCourier","test_delete_courier","",""
"","537","Успешное удаление курьера возвращает {""ok"": true}","tests","2026-07-25","passed","2026-07-25","TestDeleteCourier","test_delete_courier","",""
"","239","Запрос с существующим треком возвращает объект заказа","tests","2026-07-25","passed","2026-07-25","TestGetOrderByTrack","test_get_order_by_track","",""
"","163","Принять заказ с несуществующим id заказа — возвращается ошибка","tests","2026-07-25","passed","2026-07-25","TestAcceptOrder","test_accept_order","",""
"","280","Нельзя авторизоваться без логина","tests","2026-07-25","passed","2026-07-25","TestLoginCourier","test_login_courier","",""
"","238","Авторизация с несуществующим логином возвращает ошибку","tests","2026-07-25","passed","2026-07-25","TestLoginCourier","test_login_courier","",""
"","509","Успешное принятие заказа возвращает {""ok"": true}","tests","2026-07-25","passed","2026-07-25","TestAcceptOrder","test_accept_order","",""
"","591","Курьера можно создать без необязательного поля firstName","tests","2026-07-25","passed","2026-07-25","TestCreateCourier","test_create_courier","",""
"","820","Создание курьера с уже существующим логином возвращает ошибку","tests","2026-07-25","passed","2026-07-25","TestCreateCourier","test_create_courier","",""
"","344","Авторизация с неверным паролем возвращает ошибку","tests","2026-07-25","passed","2026-07-25","TestLoginCourier","test_login_courier","",""
"","0","test_delete_courier_returns_ok_true","tests","2026-07-25","broken","2026-07-25","TestDeleteCourier","test_delete_courier","",""
"","155","Нельзя создать курьера без пароля","tests","2026-07-25","passed","2026-07-25","TestCreateCourier","test_create_courier","",""
"","163","Удаление курьера с несуществующим id возвращает ошибку","tests","2026-07-25","passed","2026-07-25","TestDeleteCourier","test_delete_courier","",""
"","177","Нельзя создать курьера без логина","tests","2026-07-25","passed","2026-07-25","TestCreateCourier","test_create_courier","",""
"","704","Успешное создание курьера возвращает {""ok"": true}","tests","2026-07-25","passed","2026-07-25","TestCreateCourier","test_create_courier","",""
"","173","Запрос с несуществующим треком возвращает ошибку","tests","2026-07-25","passed","2026-07-25","TestGetOrderByTrack","test_get_order_by_track","",""
"","409","Тело ответа при создании заказа содержит track","tests","2026-07-25","passed","2026-07-25","TestCreateOrder","test_create_order","",""
"","153","Успешная авторизация возвращает id курьера","tests","2026-07-25","passed","2026-07-25","TestLoginCourier","test_login_courier","",""
"","20146","Нельзя авторизоваться без пароля","tests","2026-07-25","skipped","2026-07-25","TestLoginCourier","test_login_courier","",""
"","375","Тело ответа при создании заказа содержит track","tests","2026-07-25","passed","2026-07-25","TestCreateOrder","test_create_order","",""
"","375","Принять заказ с несуществующим id курьера — возвращается ошибка","tests","2026-07-25","passed","2026-07-25","TestAcceptOrder","test_accept_order","",""
"","167","Запрос без номера трека возвращает ошибку","tests","2026-07-25","passed","2026-07-25","TestGetOrderByTrack","test_get_order_by_track","",""
"","422","Успешное принятие заказа возвращает код 200","tests","2026-07-25","passed","2026-07-25","TestAcceptOrder","test_accept_order","",""
"","361","Заказ создаётся с любым набором цветов и код ответа 201","tests","2026-07-25","passed","2026-07-25","TestCreateOrder","test_create_order","",""
"","12782","Запрос списка заказов возвращает код 200","tests","2026-07-25","passed","2026-07-25","TestGetOrdersList","test_list_orders","",""
"","345","Заказ создаётся с любым набором цветов и код ответа 201","tests","2026-07-25","passed","2026-07-25","TestCreateOrder","test_create_order","",""
"","601","Успешное создание курьера возвращает код 201","tests","2026-07-25","passed","2026-07-25","TestCreateCourier","test_create_courier","",""
"","270","Курьер может авторизоваться и получает код 200","tests","2026-07-25","passed","2026-07-25","TestLoginCourier","test_login_courier","",""
"","466","Тело ответа при создании заказа содержит track","tests","2026-07-25","passed","2026-07-25","TestCreateOrder","test_create_order","",""
"","742","Нельзя создать двух курьеров с одинаковым логином","tests","2026-07-25","passed","2026-07-25","TestCreateCourier","test_create_courier","",""
"","154","Удаление без id возвращает ошибку","tests","2026-07-25","passed","2026-07-25","TestDeleteCourier","test_delete_courier","",""
